"ADMIN_CATEGORY_ADD";"Dodaj kategorie"
"ADMIN_CATEGORY_LIST_ALL";"Lista - wszystkie"
"ADMIN_CATEGORY_LIST_ACTIVE";"Lista - aktywne"
"ADMIN_CATEGORY_LIST_INACTIVE";"Lista - nieaktywne"

"ADMIN_CATEGORY_FORM_EDIT";"Kategoria - edytuj"
"ADMIN_CATEGORY_FORM_ADD";"Kategorie - dodawanie"
"CONFIGURATION_FORM_NAVI_GLOBAL";"Globalne"
"CONFIGURATION_FORM_NAVI_DESCIPTION";"Meta"

"FORMS_ADMIN_CATEGORIES_NAME";"Nazwa"
"FORMS_ADMIN_CATEGORIES_FEATURED";"Wyświetl na stronie głównej"
"FORMS_ADMIN_CATEGORIES_BOTTOM_LINKS";"Dolne menu"
"FORMS_ADMIN_CATEGORIES_IMAGES_BLACK";"Obrazek czarno-biały"
"FORMS_ADMIN_CATEGORIES_IMAGES";"Obrazek"
"FORMS_ADMIN_CATEGORIES_DESCRIPTION";"Opis"

"FORMS_ADMIN_CATEGORIES_META_TITLE";"Tytuł"
"FORMS_ADMIN_CATEGORIES_META_KEYWORDS";"Słowa kluczowe"
"FORMS_ADMIN_CATEGORIES_META_DESCRIPTION";"Opis"

"ADMIN_CATEGORY_LIST__ALL";"Lista - wszystkie"

"TABLE_CATEGORY_LIST__NAME";"Nazwa"
"TABLE_CATEGORY_LIST__CREATED_AT";"Utworzono"
"TABLE_CATEGORY_LIST__STATUS";"Status"
"TABLE_CATEGORY_STATUS_1";"Aktywny"
"TABLE_CATEGORY_STATUS_0";"Nieaktywny"
"TABLE_CATEGORY_LIST__EDIT";"Edycja"
"TABLE_CATEGORY_LIST__ACTION_EDIT";"Edytuj"
"TABLE_CATEGORY_LIST__DELETE";"Usuwanie"
"TABLE_CATEGORY_LIST__ACTION_DELETE";"Usuń"

"ADMIN_NEWS_CATEGORY__INACTIVE";"Lista - nieaktywne"
"ADMIN_CATEGORY_LIST__ACTIVE";"Lista - aktywne"
"CATEGORY_EDIT_WAS_SUCESSFULL";"Edycja została ukończona pomyślnie"
"ARTICLES_ADD_WAS_SUCESSFULL";"Podstronę dodano poprawnie"

"TABLE_ARTICLES_LIST__ID";"Id"
"TABLE_ARTICLES_LIST__URL";"Url"
"FORMS_ADMIN_ARTICLES_PARENT";"Przypisz do"








